name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude,isPenalty,year,Multiplier,assetsPrevMillion,assetsMillion,liabilitiesPrevMillion,liabilitiesMillion,establishmentYear,incomePrevMillion,incomeMillion,expensesPrevMillion,expensesMillion,adj_assetsPrevMillion,adj_assetsMillion,adj_liabilitiesPrevMillion,adj_liabilitiesMillion,adj_incomePrevMillion,adj_incomeMillion,adj_expensesPrevMillion,adj_expensesMillion,Evidences
"E.SUN COMMERCIAL BANK, LTD.","SUITES 2701, 2710-14, 27/F AND 28/F, TOWER 6, THE GATEWAY, 9 CANTON ROAD, TSIMSHATSUI, KOWLOON.","NO. 117, SEC.3, MINSHENG E. ROAD, SONGSHAN DISTRICT, TAIPEI CITY 105-46, TAIWAN",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100264,22.2970075,114.168125,0,2022,0.0000078,"759,866,538","889,053,568","644,528,519","756,108,644",1992,"39,946,747","40,606,451",26465225,23829055,5926.958996,6934.61783,5027.322448,5897.647423,311.5846266,316.7303178,206.428755,185.866629,https://www.esunbank.com/zh-tw/bank/zh-tw/-/media/New-ESUNBANK/business/corporate/overseas-branch/UCB/Annual_Report/2022_Annual_ENG.pdf
"CATHAY UNITED BANK COMPANY, LIMITED","10/F, LEE GARDEN THREE, 1 SUNNING ROAD, CAUSEWAY BAY, HONG KONG","1/F, NO. 7, SONGREN ROAD, TAIPEI CITY 110, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100252,22.2783829,114.18522,1,2022,0.001,25061675,33246348,24966703,33547692,1975,14552.26,16945.62,7590.19,8580.15,25061.675,33246.348,24966.703,33547.692,14.55226,16.94562,7.59019,8.58015,https://www.cathaybk.com.tw/cathaybk/-/media/be6c4a9f2ca64bcf8dd08d9266659746.pdf?v=1
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,"28/F, CCB TOWER, NO. 3 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.",1971,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100015,22.2814979,114.161474,1,2021,0.001,474505438,497290217,397180873,417551135,1912,18517639,15258277,8228603,5415722,474505.438,497290.217,397180.873,417551.135,18517.639,15258.277,8228.603,5415.722,
FUBON BANK (HONG KONG) LIMITED,"FUBON BANK BUILDING, 38 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100138,22.283263,114.156714,0,2023,0.001,129598400,140981616,114346416,125016000,1961,5147117,8922145,2610598,5511876,129598.4,140981.616,114346.416,125016,5147.117,8922.145,2610.598,5511.876,https://www.fubonbank.com.hk/resources/common/pdf/fi_2023arpt_e.pdf#zoom=100
J.P. MORGAN SECURITIES (ASIA PACIFIC) LIMITED,"18/F & 23-29/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200033,22.282321,114.158688,0,2023,0.078091,2131047,2240025,695537,636309,1971,553325,530848,472833,435387,166415.5913,174925.7923,54315.17987,49690.00612,43209.70258,41454.45117,36924.0018,33999.80622,https://vpr.hkma.gov.hk/statics/assets/doc/200033/fd_int/fd_int_0623_eng.pdf
AGRICULTURAL BANK OF CHINA LIMITED,"25/F, AGRICULTURAL BANK OF CHINA TOWER, 50 CONNAUGHT ROAD CENTRAL, HONG KONG.","NO. 69, JIANGUOMEN NEI AVENUE, DONGCHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100235,22.2854193,114.155977,0,2023,1,42921156,36518987,33640826,39802833,1979,748435.26,748634.4,262191.26,271592.94,42921156,36518987,33640826,39802833,748435.26,748634.4,262191.26,271592.94,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/202404/P020240426659355378697.pdf
AIRSTAR BANK LIMITED,"SUITES 3201-07, 32/F, TOWER 5, THE GATEWAY, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100329,22.297994,114.167979,0,2023,1,2660.446,2325.593,1902.2,1768.056,2019,64.884,44.843,230.002,239.352,2660.446,2325.593,1902.2,1768.056,64.884,44.843,230.002,239.352,https://www.airstarbank.com/pdf/Airstar_FY23_FS_Eng.pdf
DBS BANK (HONG KONG) LIMITED,"11TH FLOOR, THE CENTER, 99 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100034,22.2847401,114.154679,1,2024,1,475875,467621,432432,420893,1968,10763,10585,3881,4115,475875,467621,432432,420893,10763,10585,3881,4115,https://www.dbs.com/iwov-resources/pdf/hongkong/dbs-annual-report-2023-en.pdf
DEUTSCHE BANK AKTIENGESELLSCHAFT,"60/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","TAUNUSANLAGE 12, 60325 FRANKFURT, FEDERAL REPUBLIC OF GERMANY.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100085,22.3036605,114.160129,0,2023,8.48,1337,1312,318,283,1870,27.2,28.9,19.9,20.6,11337.76,11125.76,2696.64,2399.84,230.656,245.072,168.752,174.688,https://investor-relations.db.com/files/documents/annual-reports/2024/Annual-Report-2023.pdf
CA INDOSUEZ (SWITZERLAND) SA,"SUITE 2918, 29/F, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","4, QUAI G-N-RAL-GUISAN, 1204 GENEVA, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100303,22.2774092,114.164408,1,2022,8.84,"18,275","16,789","18,275","16,789",1975,351.9,380.6,291,299.8,161551,148414.76,161551,148414.76,3110.796,3364.504,2572.44,2650.232,https://vpr.hkma.gov.hk/statics/assets/doc/100303/ar_22/ar_22_eng.pdf
