name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude,isPenalty,year,Multiplier,assetsPrevMillion,assetsMillion,liabilitiesPrevMillion,liabilitiesMillion,establishmentYear,incomePrevMillion,incomeMillion,expensesPrevMillion,expensesMillion
EFG BANK AG,"LEVEL 18, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","BLEICHERWEG 8, 8001 ZURICH, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100254,22.3052462,114.161409,1,2023,8.84,43.5,38.6,41.8,36.8,1995,1270,1430.7,975,1057.9
DEUTSCHE BANK AKTIENGESELLSCHAFT,"60/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","TAUNUSANLAGE 12, 60325 FRANKFURT, FEDERAL REPUBLIC OF GERMANY.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100085,22.3036605,114.160129,0,2023,8.48,1337,1312,318,283,1870,27.2,28.9,19.9,20.6
AIRSTAR BANK LIMITED,"SUITES 3201-07, 32/F, TOWER 5, THE GATEWAY, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100329,22.297994,114.167979,0,2023,1,2660.446,2325.593,1902.2,1768.056,2019,64.884,44.843,230.002,239.352
ZA BANK LIMITED,"UNIT 1301, LEVEL 13, IT STREET, CYBERPORT 3, 100 CYBERPORT ROAD, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100325,22.2607776,114.130003,0,2023,1,11607.998,13030.228,11607.998,10979.394,2020,34.262,389.456,442020,589.366
CA INDOSUEZ (SWITZERLAND) SA,"SUITE 2918, 29/F, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","4, QUAI G-N-RAL-GUISAN, 1204 GENEVA, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100303,22.2774092,114.164408,1,2022,8.84,"18,275","16,789","18,275","16,789",1975,351.9,380.6,291,299.8
"Westpac Banking Corporation, Hong Kong Branch",,,,,22.28299,114.15846,1,2023,1,33899.647,26808.388,33899.647,26808.388,2020,100.208,61.734,95.073,75132
"CTBC Bank Co., Ltd., Hong Kong Branch",,,,,22.2853762,114.1590347,1,2021,1,98756.612,103436.763,98756.612,103436.763,1997,1450.444,1750.073,510.436,583.87
DBS BANK (HONG KONG) LIMITED,"11TH FLOOR, THE CENTER, 99 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100034,22.2847401,114.154679,1,2024,1,475875,467621,432432,420893,1968,10763,10585,3881,4115
"Commerzbank AG, Hong Kong Branch",,,,,22.32014,114.16405,1,2022,8.48264,477428,517166,446494,484156,1979,61162,37701,57759,35696
UBS AG,"52/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.","AESCHENVORSTADT 1, 4002 BASEL, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100113,22.2854833,114.159233,1,2021,8.48,"1,021,758","1,445,592","968,819","1,372,400",1998,32839,"36,695",24307,30288
