name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude,isPenalty,year,Multiplier,assetsPrevMillion,assetsMillion,liabilitiesPrevMillion,liabilitiesMillion,establishmentYear,incomePrevMillion,incomeMillion,expensesPrevMillion,expensesMillion,adj_assetsPrevMillion,adj_assetsMillion,adj_liabilitiesPrevMillion,adj_liabilitiesMillion,adj_incomePrevMillion,adj_incomeMillion,adj_expensesPrevMillion,adj_expensesMillion,prev_percent_asset_capital,percent_asset_capital,assetsPrecentChange,liabilitiesPrecentChange,incomePercentChange,expensesPercentChange,profitPercentChange
EFG BANK AG,"LEVEL 18, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","BLEICHERWEG 8, 8001 ZURICH, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100254,22.3052462,114.161409,1,2023,8.84,43.5,38.6,41.8,36.8,1995,1270,1430.7,975,1057.9,384.54,341.224,369.512,325.312,11226.8,12647.388,8619,9351.836,0.03908046,0.046632124,-0.112643678,-0.119617225,0.126535433,0.085025641,0.263728814
BANC OF AMERICA SECURITIES ASIA LIMITED,"52/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200017,22.2797946,114.160542,0,2023,0.128205128,3367.646,89.073,2795.552,13.1,1973,26.631,53.879,48.397,118.941,431.7494865,11.41961537,358.404102,1.679487177,3.414230764,6.907564092,6.20474358,15.24884613,0.169879494,0.85292962,-0.973550367,-0.995313985,1.023168488,1.457611009,1.989157402
AIRSTAR BANK LIMITED,"SUITES 3201-07, 32/F, TOWER 5, THE GATEWAY, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100329,22.297994,114.167979,0,2023,1,2660.446,2325.593,1902.2,1768.056,2019,64.884,44.843,230.002,239.352,2660.446,2325.593,1902.2,1768.056,64.884,44.843,230.002,239.352,0.2850071,0.239739714,-0.125863483,-0.07052045,-0.308874299,0.04065182,0.177999976
WELAB BANK LIMITED,"23/F, K11 ATELIER KING'S ROAD, 728 KING'S ROAD, QUARRY BAY, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100328,22.2917075,114.207509,0,2023,1,2688.928,3763.565,2186.795,3304.338,2018,44,66,465,332,2688.928,3763.565,2186.795,3304.338,44,66,465,332,0.186740961,0.122019149,0.399652575,0.511041501,0.5,-0.286021505,-0.368171021
WOORI GLOBAL MARKETS ASIA LIMITED,"ROOMS 1907-1909, 19/F, GLOUCESTER TOWER, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, HONG KONG.",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300505,22.2805427,114.157903,0,2023,7.8,432.20192,508.603073,316.354174,384.049681,2006,3.348235,6.698869,0.376109,0.23186,3371.174976,3967.103969,2467.562557,2995.587512,26.116233,52.2511782,2.9336502,1.808508,0.268040794,0.244893117,0.176771896,0.213986451,1.000716497,-0.383529775,1.175886554
"E.SUN COMMERCIAL BANK, LTD.","SUITES 2701, 2710-14, 27/F AND 28/F, TOWER 6, THE GATEWAY, 9 CANTON ROAD, TSIMSHATSUI, KOWLOON.","NO. 117, SEC.3, MINSHENG E. ROAD, SONGSHAN DISTRICT, TAIPEI CITY 105-46, TAIWAN",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100264,22.2970075,114.168125,0,2022,0.0000078,"759,866,538","889,053,568","644,528,519","756,108,644",1992,"39,946,747","40,606,451",26465225,23829055,5926.958996,6934.61783,5027.322448,5897.647423,311.5846266,316.7303178,206.428755,185.866629,0.151787206,0.149535336,0.17001279,0.173118988,0.016514586,-0.099608826,0.244473436
BANK OF CHINA INTERNATIONAL LIMITED,"2/F & 3/F, BANK OF CHINA BUILDING, 2A DES VOEUX ROAD CENTRAL, HONG KONG",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200069,22.2802538,114.160114,0,2023,1,6405.275,6216.206,4612.003,4417.882,2009,506.316,569.7,264.301,351.1,6405.275,6216.206,4612.003,4417.882,506.316,569.7,264.301,351.1,0.279967995,0.289296075,-0.029517702,-0.042090389,0.125186642,0.328409654,-0.096750201
DEUTSCHE BANK AKTIENGESELLSCHAFT,"60/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","TAUNUSANLAGE 12, 60325 FRANKFURT, FEDERAL REPUBLIC OF GERMANY.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100085,22.3036605,114.160129,0,2023,8.48,1337,1312,318,283,1870,27.2,28.9,19.9,20.6,11337.76,11125.76,2696.64,2399.84,230.656,245.072,168.752,174.688,0.762154076,0.78429878,-0.018698579,-0.110062893,0.0625,0.035175879,0.136986301
ZA BANK LIMITED,"UNIT 1301, LEVEL 13, IT STREET, CYBERPORT 3, 100 CYBERPORT ROAD, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100325,22.2607776,114.130003,0,2023,1,11607.998,13030.228,11607.998,10979.394,2020,34.262,389.456,442020,589.366,11607.998,13030.228,11607.998,10979.394,34.262,389.456,442020,589.366,0,0.157390492,0.122521558,-0.054152663,10.36699551,-0.998666653,-0.9995477
"CATHAY UNITED BANK COMPANY, LIMITED","10/F, LEE GARDEN THREE, 1 SUNNING ROAD, CAUSEWAY BAY, HONG KONG","1/F, NO. 7, SONGREN ROAD, TAIPEI CITY 110, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100252,22.2783829,114.18522,1,2022,0.001,25061675,33246348,24966703,33547692,1975,14552.26,16945.62,7590.19,8580.15,25061.675,33246.348,24966.703,33547.692,14.55226,16.94562,7.59019,8.58015,0.003789531,-0.009063973,0.326581244,0.343697324,0.16446655,0.130426248,0.201577979
